Kaggle_ID,Date,Hour,Temperature,Humidity,Wind speed,Visibility,Dew point temperature,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Record_id,Rented Bike Count
43,20/02/2018,-7,13.1,59,1.8,1461,3.6,0.57,0.2,0.1,Auttumn,Holiday,No,4048158,757
44,4/5/2018,21,13.3,47,1.9,1805,2.2,0.0,0.0,0.0,Sprng,No Holiday,Yes,7479212,1341
45,19/07/2018,-10,12.8,59,1.8,1433,4.2,0.54,0.2,0.1,Winteer,Holiday,No,959345,94
46,4/2/2018,4,-11.2,47,2.3,2000,-20.3,0.0,0.0,0.0,Wintr,No Holiday,Yes,1131839,42
47,4/6/2018,10,25.1,40,2.7,1076,10.5,2.37,0.0,0.0,Summmer,No Holiday,Yes,5467178,937
48,26/12/2017,4,-2.6,72,1.4,1929,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,513651,37
49,21/09/2018,20,20.0,82,0.4,2000,16.8,0.0,0.0,0.0,Autum,No Holiday,Yes,8383888,1625
50,19/03/2018,15,9.8,57,3.0,2000,1.6,0.43,0.0,0.0,Spring,No Holiday,Yes,2217460,275
51,22/03/2018,11,6.9,46,2.1,1541,-3.9,2.33,0.0,0.0,Sprng,No Holiday,Yes,3352854,570
52,29/10/2018,2,4.7,81,1.0,1918,1.7,0.0,0.0,0.0,Autmn,No Holiday,Yes,1934096,191
53,16/10/2018,23,12.9,78,0.6,1201,9.1,0.0,,0.0,Auttumn,No Holiday,Yes,5510192,973
54,30/09/2018,20,16.0,39,2.9,2000,2.0,,0.0,0.0,Autumn,No Holiday,No,452762,0
55,11/12/2017,14,-5.4,31,4.1,1945,-19.9,1.13,,0.0,Wintr,No Holiday,Yes,1582977,247
56,15/03/2018,8,14.1,97,1.1,342,13.6,0.0,0.0,0.0,Spring,No Holiday,Yes,618235,38
57,7/4/2018,13,7.4,22,4.5,1964,-12.9,,0.0,0.0,Spriing,No Holiday,Yes,4559277,840
58,16/09/2018,19,21.2,87,2.7,479,18.9,0.01,0.0,0.0,Autumn,No Holiday,Yes,4282947,824
59,22/02/2018,5,-2.4,59,1.1,1984,-9.3,0.0,0.0,0.0,Wonter,No Holiday,Yes,507675,73
60,28/01/2018,19,-6.0,31,3.6,2000,-20.4,0.0,0.0,0.0,Wintr,No Holiday,Yes,1091396,137
61,8/5/2018,14,22.2,42,1.7,2000,8.6,2.29,0.0,0.0,Sproing,No Holiday,Yes,6213729,1173
62,6/5/2018,14,17.2,85,1.3,2000,14.6,0.94,0.0,0.0,Sproing,No Holiday,Yes,2867063,411
63,29/06/2018,14,27.8,57,2.1,760,18.4,,0.0,0.0,Sumer,No Holiday,Yes,6912707,1214
64,24/03/2018,23,6.4,85,2.3,155,4.0,0.0,0.0,0.0,Spring,No Holiday,Yes,2047103,342
65,22/03/2018,22,3.9,66,2.7,990,-1.8,0.0,0.0,0.0,Sproing,No Holiday,Yes,3641409,602
66,9/8/2018,21,27.8,82,0.3,1397,24.4,0.0,0.0,0.0,Summer,No Holiday,Yes,9019729,1708
67,25/04/2018,15,22.8,21,2.1,1542,-0.6,2.75,0.0,0.0,Sprng,No Holiday,Yes,6571137,1202
68,29/12/2017,20,1.7,73,0.5,332,-2.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2042615,281
69,21/10/2018,11,16.8,38,1.5,1326,2.3,2.07,0.0,0.0,Autum,No Holiday,Yes,5599347,1045
70,13/03/2018,-8,12.7,58,1.7,1403,4.8,0.49,0.2,0.1,Summer,Holiday,Yes,2176708,285
71,28/01/2018,11,-4.6,27,2.6,1887,-20.8,0.85,0.0,0.0,Winter,No Holiday,Yes,921310,146
72,17/06/2018,-5,12.4,58,1.6,1439,4.6,0.58,0.1,0.1,Summmer,Holiday,Yes,1803829,316
73,30/12/2017,13,4.0,62,1.0,256,-2.6,0.51,0.0,0.0,Wintr,No Holiday,Yes,1780392,317
74,31/05/2018,22,21.1,59,,1874,12.7,0.0,0.0,0.0,Sproing,No Holiday,Yes,10912758,1990
75,5/9/2018,2,20.6,72,0.9,2000,15.3,0.0,0.0,0.0,Autum,No Holiday,Yes,3577999,516
76,22/08/2018,-9,13.2,59,,1392,3.3,,0.1,0.1,Summer,No Holiday,No,638372,0
77,25/08/2018,16,27.2,58,3.7,1987,18.2,0.99,0.0,0.0,Sumer,No Holiday,Yes,8333957,1642
78,3/4/2018,10,18.9,66,2.0,1298,12.4,0.85,0.0,0.0,Sprng,No Holiday,Yes,4128106,689
79,11/6/2018,23,18.2,93,0.8,460,17.0,0.0,3.5,0.0,Sumer,No Holiday,Yes,2335810,398
80,20/11/2018,14,12.3,16,2.5,1797,-12.8,1.69,0.0,0.0,Autmn,No Holiday,Yes,4390793,842
81,7/4/2018,12,6.0,23,4.2,1990,-13.6,2.0,0.0,0.0,Spriing,No Holiday,Yes,3956197,755
82,1/9/2018,15,30.0,45,0.9,2000,16.7,2.1,0.0,0.0,Autumn,No Holiday,Yes,7461781,1432
83,5/3/2018,0,7.6,88,2.5,1974,5.7,0.0,9.0,0.0,Sprng,No Holiday,Yes,445168,18
84,25/07/2018,-8,12.2,58,1.8,1373,4.2,0.58,0.2,0.0,Sproing,No Holiday,Yes,1181680,53
85,29/12/2017,5,0.7,66,0.7,687,-4.9,0.0,0.0,0.0,Winteer,No Holiday,Yes,499193,68
86,18/04/2018,7,6.4,51,1.0,1398,-3.0,0.19,0.0,0.0,Sprng,No Holiday,Yes,5813417,1078
87,4/6/2018,23,21.4,68,2.7,972,15.2,0.0,0.0,0.0,Summr,No Holiday,Yes,8070712,1438
88,31/08/2018,11,26.7,51,2.7,1925,15.7,2.65,,0.0,Summr,No Holiday,Yes,4756884,893
89,6/4/2018,11,8.3,69,4.1,1217,2.9,1.81,0.0,0.0,Sproing,No Holiday,Yes,3081667,590
90,7/7/2018,19,26.1,51,1.4,2000,15.1,0.32,0.0,0.0,Summer,No Holiday,Yes,12029910,2378
91,8/5/2018,11,21.0,45,1.6,2000,8.6,2.89,0.0,0.0,Sproing,No Holiday,Yes,4737016,900
92,23/11/2018,8,-3.0,43,1.1,2000,-13.8,0.03,,0.0,Auttumn,No Holiday,Yes,8640944,1569
93,8/1/2018,10,1.3,43,0.8,971,-9.9,,0.0,0.0,Winteer,No Holiday,Yes,1801369,252
94,2/9/2018,4,21.1,62,1.8,2000,13.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,1775382,256
95,14/07/2018,9,27.0,70,1.1,1393,21.0,1.15,0.0,0.0,Summmer,No Holiday,Yes,5579197,922
96,4/3/2018,8,-9.7,0,-0.8,309,-22.8,1.07,0.0,0.0,Wonter,No Holiday,No,905594,0
97,7/10/2018,9,16.2,60,1.9,1899,8.4,1.16,0.0,0.0,Autum,No Holiday,Yes,4320444,784
98,16/03/2018,16,11.6,31,1.4,1999,-4.9,2.11,0.0,0.0,Sprng,No Holiday,Yes,5961671,994
99,5/5/2018,4,12.1,51,1.6,1939,2.2,,,0.0,Spriing,No Holiday,Yes,1404940,243
100,4/5/2018,15,19.9,26,3.8,1898,-0.1,3.0,0.0,0.0,Spriing,No Holiday,Yes,7919415,1385
101,22/09/2018,-9,11.8,59,1.7,1439,5.7,0.49,0.2,0.1,Wonter,Holiday,No,7822327,1511
102,12/1/2018,0,-13.6,49,,2000,-22.0,0.0,0.0,0.0,Winter,No Holiday,Yes,1138499,112
103,6/4/2018,19,4.8,48,,1126,-5.3,0.17,0.0,0.0,Spriing,No Holiday,Yes,3972708,714
104,18/11/2018,5,2.3,53,0.6,1763,-6.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,764943,104
105,25/08/2018,14,29.2,52,3.1,1735,18.3,2.68,0.0,0.0,Summer,No Holiday,Yes,6625122,1291
106,11/8/2018,12,33.2,50,2.3,2000,21.3,2.84,0.0,0.0,Summer,No Holiday,Yes,4626890,783
107,14/03/2018,8,14.2,67,0.9,1812,8.1,,0.0,0.0,Spriing,No Holiday,Yes,6996908,1361
108,25/09/2018,11,20.1,40,1.6,1985,6.0,2.47,0.0,0.0,Autum,Holiday,Yes,4487922,872
109,11/7/2018,-8,13.0,57,,1438,4.7,0.48,,0.1,Autumn,No Holiday,No,3562536,617
110,16/03/2018,22,4.9,46,0.8,2000,-5.7,0.0,,0.0,Spriing,No Holiday,Yes,4274306,681
111,4/5/2018,8,11.3,46,1.2,1788,0.0,1.04,0.0,0.0,Spring,No Holiday,Yes,10861419,2104
112,9/1/2018,13,-2.6,45,4.0,1663,-12.9,1.11,0.0,0.3,Winter,No Holiday,Yes,2113635,269
113,16/03/2018,-6,12.6,58,1.7,1376,4.9,0.58,0.2,0.0,Autmn,No Holiday,No,2369204,333
114,5/8/2018,11,,63,2.6,1695,23.3,1.99,0.0,0.0,Summmer,No Holiday,Yes,2750605,460
115,8/2/2018,6,-9.3,61,0.7,1684,-15.4,,0.0,0.0,Wintr,No Holiday,Yes,1341090,103
116,29/10/2018,15,11.0,46,3.4,2000,-0.1,0.57,0.0,0.0,Auttumn,No Holiday,Yes,5255710,969
117,1/9/2018,20,26.9,49,2.1,2000,15.2,0.0,0.0,0.0,Autum,No Holiday,Yes,7931230,1456
118,22/12/2017,14,5.9,55,0.6,779,-2.4,0.48,,0.0,Wonter,Holiday,Yes,2026507,291
119,1/7/2018,16,22.2,97,1.1,1745,21.6,0.25,1.0,0.0,Summr,No Holiday,Yes,1103746,50
120,22/08/2018,8,25.7,66,0.9,1976,18.8,0.64,0.0,0.0,Summer,No Holiday,Yes,10674184,1976
121,20/02/2018,6,-2.1,82,1.8,381,-4.7,0.0,0.0,0.0,Wonter,No Holiday,Yes,1747088,151
122,21/02/2018,18,1.8,16,3.4,2000,-21.4,0.31,0.0,0.0,Wintr,No Holiday,Yes,4704406,744
123,12/10/2018,13,15.8,36,1.5,1888,0.7,,0.0,0.0,Autumn,No Holiday,Yes,6219977,1208
124,6/3/2018,14,9.2,27,2.9,1880,-8.8,2.32,0.0,0.0,Spring,No Holiday,Yes,3214032,565
125,21/07/2018,7,25.3,71,,1226,19.6,0.34,0.0,0.0,Sumer,No Holiday,Yes,3260430,474
126,20/12/2017,15,-0.2,45,1.0,1852,-10.7,0.41,,1.6,Winter,No Holiday,Yes,2045881,242
127,15/10/2018,9,12.8,74,0.5,831,8.2,0.31,0.0,0.0,Autum,No Holiday,Yes,5954303,1154
128,25/03/2018,7,4.7,82,1.3,198,1.8,,0.0,0.0,Sprng,No Holiday,Yes,1113642,132
129,11/5/2018,19,17.1,51,2.5,1223,6.8,,0.0,0.0,Spriing,No Holiday,Yes,10540717,2019
130,8/10/2018,17,20.0,28,0.7,2000,0.9,0.79,0.0,0.0,Autumn,No Holiday,Yes,11385703,2112
131,14/11/2018,16,15.2,40,2.7,1371,1.6,0.87,0.0,0.0,Autum,No Holiday,Yes,6211807,1131
132,16/01/2018,22,4.0,57,0.3,430,-3.7,0.0,0.0,0.0,Wintr,No Holiday,Yes,2629843,334
133,30/09/2018,6,15.5,80,0.4,2000,12.0,,0.0,0.0,Autmn,No Holiday,No,290847,0
134,27/08/2018,11,22.0,96,1.6,602,21.3,0.36,0.5,0.0,Summer,No Holiday,Yes,890222,118
135,3/1/2018,9,-6.8,44,1.7,1858,-17.0,0.16,,0.0,Wintr,No Holiday,Yes,2795082,370
136,16/06/2018,-9,13.1,57,1.8,1468,3.2,0.54,0.1,0.0,Sprng,Holiday,No,8000919,1469
137,23/05/2018,4,15.0,97,1.4,1827,14.5,0.0,0.0,0.0,Spriing,No Holiday,Yes,889894,49
138,7/4/2018,6,1.7,58,3.8,1189,-5.6,0.0,0.0,0.0,Sproing,No Holiday,Yes,958580,126
139,17/01/2018,3,3.0,67,0.8,297,-2.5,0.0,0.0,0.0,Wonter,No Holiday,Yes,643933,92
140,1/5/2018,17,22.0,65,2.4,589,15.1,0.47,0.0,0.0,Spriing,Holiday,Yes,9588337,1893
141,2/9/2018,9,23.4,52,1.3,1997,12.9,1.53,0.0,0.0,Auttumn,No Holiday,Yes,4103633,699
142,26/08/2018,8,22.1,74,1.0,1479,17.2,0.77,0.0,0.0,Summr,No Holiday,Yes,3094073,567
143,8/8/2018,20,31.0,66,2.9,1857,23.8,0.02,0.0,0.0,Sumer,No Holiday,Yes,9226495,1805
144,23/04/2018,22,9.6,90,1.9,2000,8.0,0.0,0.0,0.0,Spriing,No Holiday,Yes,1456531,166
145,19/02/2018,22,1.0,69,0.7,525,-4.0,0.0,0.0,0.0,Wonter,No Holiday,Yes,2709311,368
146,12/5/2018,20,15.7,97,0.3,343,15.2,0.0,1.0,0.0,Sprng,No Holiday,Yes,745769,25
147,18/06/2018,-2,12.4,58,1.8,1439,2.8,0.49,0.1,0.0,Summr,Holiday,Yes,983693,52
148,25/11/2018,-10,12.6,57,1.7,1383,3.4,0.58,0.3,0.1,Sumer,No Holiday,No,6146738,1164
149,7/8/2018,3,27.6,69,0.9,2000,21.3,0.0,0.0,0.0,Sumer,No Holiday,Yes,2204022,282
150,3/5/2018,16,12.8,53,3.3,2000,3.4,0.76,0.0,0.0,Spring,No Holiday,Yes,5660534,945
151,27/01/2018,23,-7.6,42,1.2,1760,-18.3,0.0,0.0,0.0,Winter,No Holiday,Yes,584150,96
152,8/12/2017,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,Wonter,No Holiday,Yes,3175065,481
153,8/7/2018,23,24.6,60,2.6,2000,16.3,0.0,0.0,0.0,Summr,No Holiday,Yes,6810416,1229
154,1/2/2018,-5,13.4,59,1.8,1443,3.1,0.6,0.1,0.1,Winteer,No Holiday,Yes,3042418,528
155,3/8/2018,7,30.8,58,1.6,1777,21.5,0.22,,0.0,Sumer,No Holiday,Yes,5327298,956
156,27/01/2018,1,-15.1,43,0.8,1905,-24.9,0.0,0.0,0.3,Wonter,No Holiday,Yes,1208897,75
157,27/11/2018,22,6.6,33,2.1,722,-8.5,0.0,0.0,0.0,Autum,No Holiday,Yes,3718328,721
158,15/10/2018,18,18.0,66,2.3,554,11.5,0.1,0.0,0.0,Autumn,No Holiday,Yes,14041500,2643
159,19/07/2018,-8,13.6,60,1.7,1401,4.6,0.49,0.1,0.1,Spring,No Holiday,No,9942189,1922
160,21/03/2018,17,2.5,78,2.0,2000,-0.9,0.25,0.0,0.0,Spring,No Holiday,Yes,1707922,301
161,24/11/2018,9,0.3,97,3.0,34,-0.1,0.0,9.1,7.1,Autumn,No Holiday,Yes,957919,26
162,19/08/2018,1,25.0,57,0.9,2000,15.8,0.0,0.0,0.0,Summer,No Holiday,Yes,5096991,821
163,22/08/2018,11,32.1,49,1.6,1874,20.0,2.63,0.0,0.0,Summer,No Holiday,Yes,4189258,738
164,15/05/2018,4,16.1,74,0.8,440,11.4,0.0,0.0,0.0,Spriing,No Holiday,Yes,1103006,163
165,19/08/2018,3,24.0,59,0.6,2000,15.4,0.0,0.0,0.0,Summer,No Holiday,Yes,2919110,442
166,25/09/2018,18,21.6,37,1.0,2000,6.2,0.24,,0.0,Autmn,Holiday,Yes,9947543,1881
167,4/10/2018,19,22.3,50,1.4,2000,11.3,0.0,0.0,0.0,Autum,No Holiday,No,236931,0
168,22/01/2018,1,-0.2,32,0.7,2000,-14.9,0.0,0.0,0.0,Winter,No Holiday,Yes,1268767,109
169,5/4/2018,-7,12.9,58,1.8,1378,4.2,0.55,0.2,0.1,Auttumn,Holiday,No,6939999,1249
170,26/02/2018,15,10.3,23,2.1,1317,-9.9,2.09,0.0,0.0,Winter,No Holiday,Yes,3636924,540
171,13/04/2018,14,18.7,14,1.6,2000,-9.3,1.25,0.0,0.0,Spriing,No Holiday,Yes,5763076,1049
172,15/02/2018,10,-1.6,26,1.9,1980,-18.6,1.29,0.0,0.0,Wonter,Holiday,Yes,1418641,114
173,9/11/2018,6,11.0,70,3.1,900,5.7,0.0,0.0,0.0,Autmn,No Holiday,No,419213,0
174,28/03/2018,10,14.7,62,2.9,684,7.4,1.59,0.0,0.0,Sprng,No Holiday,Yes,2718858,491
175,1/6/2018,6,17.5,76,1.2,1161,13.2,0.05,0.0,0.0,Summer,No Holiday,Yes,3890364,671
176,3/11/2018,4,6.3,72,1.0,1104,1.6,0.0,0.0,0.0,Autum,No Holiday,No,589094,0
177,5/5/2018,18,,31,3.4,1953,4.5,0.79,0.0,0.0,Sproing,No Holiday,Yes,10452752,1995
178,30/07/2018,7,26.8,59,1.1,2000,18.1,0.28,,0.0,Summmer,No Holiday,Yes,6006921,1155
179,27/06/2018,23,22.3,83,2.6,490,19.2,0.0,0.0,0.0,Summer,No Holiday,Yes,5957580,1084
180,25/09/2018,12,21.7,36,2.0,2000,5.9,2.78,0.0,0.0,Auttumn,Holiday,Yes,6271903,1070
181,18/01/2018,16,3.6,42,2.4,883,-8.1,0.29,0.0,0.0,Winter,No Holiday,Yes,1739617,309
182,22/09/2018,9,,78,1.3,740,15.7,,0.0,0.0,Autmn,No Holiday,Yes,4870041,803
183,20/01/2018,3,-0.9,65,0.2,1359,-6.6,0.0,0.0,0.0,Winter,No Holiday,Yes,940901,113
184,9/5/2018,23,,62,1.4,2000,7.9,0.0,0.0,0.0,Spriing,No Holiday,Yes,5884725,1156
185,27/04/2018,3,10.7,63,1.1,989,3.9,0.0,0.0,0.0,Spriing,No Holiday,Yes,2076340,234
186,29/09/2018,2,15.8,71,1.1,2000,10.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,4126980,709
187,21/02/2018,22,-2.2,55,1.4,2000,-10.0,0.0,0.0,0.0,Wintr,No Holiday,Yes,1838726,298
188,9/1/2018,1,-1.9,69,5.0,791,-6.8,0.0,0.0,1.0,Wintr,No Holiday,Yes,973439,126
189,7/2/2018,-4,12.6,56,1.7,1470,4.4,0.58,,0.1,Autum,Holiday,Yes,4883037,777
190,17/12/2017,13,-4.5,25,3.2,1989,-21.6,1.14,0.0,0.0,Winter,No Holiday,Yes,1439298,216
191,23/01/2018,12,-11.3,27,3.7,1955,-26.6,1.18,0.0,1.0,Wonter,No Holiday,Yes,1584464,196
192,9/2/2018,18,4.1,40,2.1,1327,-8.3,0.1,0.0,0.0,Wonter,No Holiday,Yes,3639532,610
193,5/1/2018,19,-2.5,49,0.6,1436,-11.7,0.0,0.0,0.0,Wintr,No Holiday,Yes,2547835,418
194,2/7/2018,3,21.1,96,2.4,866,20.4,0.0,4.5,0.0,Summr,No Holiday,Yes,411133,20
195,17/05/2018,0,22.0,97,1.6,152,21.4,0.0,0.5,0.0,Spriing,No Holiday,Yes,1602631,131
196,15/11/2018,21,9.6,52,1.3,906,0.2,,0.0,0.0,Autum,No Holiday,Yes,6407399,1133
197,27/12/2017,22,-6.4,36,1.3,2000,-19.0,0.0,0.0,0.0,Wintr,No Holiday,Yes,1411605,245
198,3/8/2018,5,30.5,72,0.5,1084,24.8,0.0,0.0,0.0,Summr,No Holiday,Yes,1935285,267
199,8/7/2018,0,20.7,51,1.7,2000,10.1,0.0,0.0,0.0,Summer,No Holiday,Yes,6187432,1196
200,4/11/2018,22,11.2,67,1.3,940,5.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,5151890,935
201,25/08/2018,5,23.3,79,,1592,19.4,0.0,0.0,0.0,Summmer,No Holiday,Yes,1625786,210
202,9/5/2018,16,21.4,35,2.7,1838,5.2,2.38,0.0,0.0,Spriing,No Holiday,Yes,8532611,1593
203,6/5/2018,9,15.4,97,0.8,413,14.9,0.18,1.0,0.0,Sproing,No Holiday,Yes,970996,13
204,26/03/2018,10,10.0,70,,187,4.7,1.57,0.0,0.0,Sprng,No Holiday,Yes,2354985,410
205,6/1/2018,21,-2.5,47,0.8,1495,-12.2,,0.0,0.0,Wintr,No Holiday,Yes,1191872,216
206,19/03/2018,23,6.9,44,3.3,2000,-4.5,0.0,0.0,0.0,Spring,No Holiday,Yes,1983770,351
207,26/07/2018,13,32.4,54,0.7,896,21.8,1.41,,0.0,Summmer,No Holiday,Yes,3336515,632
208,28/11/2018,16,9.6,17,3.0,1706,-14.3,0.77,0.0,0.0,Autum,No Holiday,Yes,4581740,858
209,28/05/2018,15,28.4,43,3.1,900,14.6,2.28,0.0,0.0,Spriing,No Holiday,Yes,7303846,1315
210,27/01/2018,21,-7.9,35,2.6,1878,-20.7,0.0,,0.0,Wintr,No Holiday,Yes,1480721,106
211,3/2/2018,18,-6.6,36,4.4,2000,-19.2,0.15,0.0,0.0,Wonter,No Holiday,Yes,1371644,168
212,24/06/2018,22,23.9,72,0.8,1098,18.5,0.0,0.0,0.0,Summer,No Holiday,Yes,10036655,1885
213,8/4/2018,21,2.8,88,2.1,592,1.0,0.0,0.0,0.0,Sprng,No Holiday,Yes,1791408,165
214,21/04/2018,17,23.2,12,3.6,2000,-7.8,1.69,0.0,0.0,Sprng,No Holiday,Yes,11166799,2084
215,19/02/2018,8,-1.2,51,0.8,1800,-10.0,0.05,0.0,0.0,Wintr,No Holiday,Yes,4439422,702
216,10/4/2018,3,,48,0.8,1455,-2.2,0.0,0.0,0.0,Spring,No Holiday,Yes,1596669,150
217,26/04/2018,4,10.7,70,0.7,1404,5.4,0.0,0.0,0.0,Spring,No Holiday,Yes,1609629,160
218,5/2/2018,3,-11.3,54,0.6,2000,-18.7,0.0,0.0,0.0,Wintr,No Holiday,Yes,410847,41
219,18/07/2018,18,32.0,50,2.6,1374,20.2,1.25,0.0,0.0,Summer,No Holiday,Yes,14125714,2729
220,10/9/2018,7,18.9,63,1.8,2000,11.6,0.09,0.0,0.0,Auttumn,No Holiday,Yes,8120818,1534
221,7/7/2018,13,27.5,43,2.0,2000,13.7,3.41,0.0,0.0,Sumer,No Holiday,Yes,8089513,1449
222,28/09/2018,21,17.8,66,1.1,2000,11.3,0.0,0.0,0.0,Autum,No Holiday,No,561735,0
223,20/05/2018,9,16.0,34,1.3,2000,0.1,1.0,0.0,0.0,Spring,No Holiday,Yes,3969255,703
224,7/3/2018,10,5.2,52,1.5,1808,-3.8,0.74,0.0,0.0,Sproing,No Holiday,Yes,2381781,427
225,29/10/2018,14,11.3,39,,2000,-2.1,,0.0,0.0,Autumn,No Holiday,Yes,5022857,832
226,15/06/2018,4,18.0,93,1.6,627,16.8,0.0,10.5,0.0,Sumer,No Holiday,Yes,1204605,64
227,25/09/2018,8,12.0,61,1.3,1988,4.6,0.6,0.0,0.0,Autmn,Holiday,Yes,2939872,432
